keys,de,en,es,fr,it,pl,ru,uk
Follow me,Folgen Sie mir,Follow me,Sígueme,Suivez-moi,Seguimi,Chodź za mną,Следуй за мной,Слідуй за мною
Stay here,Bleib hier,Stay here,Quédate aquí,Reste ici,Rimani qui,Zostań tutaj,Оставайся здесь,Залишайся тут
Stop,Hör auf,Stop,Para,Arrêt,Smettila,Przestań,Перестань,Перестань
Don't do that,Tu das nicht,Don't do that,No hagas eso,Fais pas ça,Non farlo,Nie rób tego,Не делай этого,Не роби цього
Once more,Noch einmal,Once more,Una vez más,Encore une fois,Ancora una volta,Jeszcze raz,Ещё раз,Ще раз
Do just that,Tun Sie genau das,Do just that,Haz solo eso,Ne fais que ça,Fai solo questo,Rób tylko to,Делай только это,Роби лише це
Do whatever,Tun Sie was auch immer,Do whatever,Fais ce que tu veux,Fare qualsiasi cosa,Rób co chcesz,Делай что угодно,Роби що завгодно
Options,Optionen,Options,Opciones,Options,Opzioni,Opcje,Опции,Опції
Quit,Beenden,Quit,Salir,Quitter,Esci,Zamknij,Выйти,Вийти
Skins,Skins,Skins,Pieles,Skins,Skin,Skórki,Скины,Скіни
Settings,Einstellungen,Settings,Ajustes,Paramètres,Impostazioni,Ustawienia,Настройки,Налаштування
Enable walking,Gehen aktivieren,Enable walking,Activar caminar,Activer la marche,Attivare la camminata,Włącz chodzenie,Включить ходьбу,Увімкнути ходьбу
Enable running,Laufen aktivieren,Enable running,Activar correr,Activer la course,Attivare la corsa,Włącz bieganie,Включить бег,Увімкнути біг
About USM,Über USM,About USM,Sobre USM,À propos d'USM,A proposito di USM,O USM,Об USM,Про USM
Install a skin,Installiere einen Skin,Install a skin,Instalar una piel,Installer un skin,Installa una skin,Zainstaluj skórkę,Установить скин,Встановити скін
Delete selected,Ausgewählte löschen,Delete selected,Eliminar seleccionado,Supprimer sélectionnée,Elimina selezionato,Usuń wybrane,Удалить выбраный,Видалити обраний
Apply,Übernehmen,Apply,Aplicar,Appliquer,Applica,Zastosuj,Применить,Застосувати
Close,Schließen,Close,Cerrar,Fermer,Chiudi,Zamknij,Закрыть,Закрити
Error,Fehler,Error,Error,Erreur,Errore,Błąd,Ошибка,Помилка
Warning,Warnung,Warning,Advertencia,Avertissement,Avvertimento,Ostrzeżenie,Предупреждение,Попередження
Go to Options,Gehen Sie zu Optionen,Go to Options,Abrir Opciones,Ouvrez Options,Apri Opzioni,Przejdź do Opcji,Перейти к Опциям,Перейти до Опції
"Default skins installation failed, cannot proceed.","Die Installation der Standard-Skins ist fehlgeschlagen, kann nicht fortgesetzt werden.","Default skins installation failed, cannot proceed.","La instalación de pieles predeterminadas falló, no puede continuar.","L'installation des skins par défaut a échoué, impossible de continuer.","Installazione delle skin predefinite non riuscita, impossibile procedere.","Domyślna instalacja skórek nie powiodła się, nie można kontynuować.","Не удалось установить стандартные скины, невозможно продолжить.","Встановлення стандартних скінів не вдалось, неможливо продовжити."
"You have to configure the program to start.","Sie müssen das Programm zum Starten konfigurieren.","You have to configure the program to start.","Tienes que configurar el programa para que arranque.","Vous devez configurer le programme pour démarrer.","Devi configurare il programma per l'avvio.","Aby rozpocząć, musisz skonfigurować program.","Вам необходимо настроить программу, чтобы начать.","Вам необхідно налаштувати програму, щоб почати."
"The config file may be broken, you have to reconfigure the program.","Die Konfigurationsdatei ist möglicherweise defekt. Sie müssen das Programm neu konfigurieren.","The config file may be broken, you have to reconfigure the program.","El archivo de configuración puede estar dañado, debe reconfigurar el programa.","Le fichier de configuration est peut-être cassé, vous devez reconfigurer le programme.","Il file di configurazione potrebbe essere danneggiato, è necessario riconfigurare il programma.","Plik konfiguracyjny może być uszkodzony, musisz ponownie skonfigurować program.","Файл конфигурации вероятно повреждён, Вам необходимо перенастроить программу.","Файл конфігурації може бути пошкодженим, Вам необхідно налаштувати програму наново."
"The selected skin could not be loaded, please verify it and reconfigure.","Der ausgewählte Skin konnte nicht geladen werden. Bitte überprüfen Sie ihn und konfigurieren Sie ihn neu.","The selected skin could not be loaded, please verify it and reconfigure.","No se pudo cargar la piel seleccionada, verifíquela y vuelva a configurarla.","Le skin sélectionné n'a pas pu être chargé, veuillez le vérifier et le reconfigurer.","Non è stato possibile caricare la skin selezionata, verificala e riconfigurala.","Nie można załadować wybranej skórki, sprawdź ją i ponownie skonfiguruj.","Не удалось загрузить выбранный скин, перепроверьте и перенастройте программу.","Не вдалося завантажити обраний скін, перепровірте і налаштуйте програму наново."
"The selected skin is incomplete, please verify your installation.","Der ausgewählte Skin ist unvollständig. Überprüfen Sie bitte Ihre Installation.","The selected skin is incomplete, please verify your installation.","La piel seleccionada está incompleta, verifique su instalación.","Le skin sélectionné est incomplet, veuillez vérifier votre installation.","La skin selezionata è incompleta, verifica l'installazione.","Wybrana skórka jest niekompletna, sprawdź swoją instalację.","Выбранный скин не является завершённым, проверьте установку.","Обраний скін є незавершеним, перепровірте ваше встановлення."
"The selected skin may be broken: 'idle' is incomplete.","Der ausgewählte Skin ist möglicherweise defekt: 'idle' ist unvollständig.","The selected skin may be broken: 'idle' is incomplete.","La piel seleccionada puede estar rota: 'idle' está incompleto.","Le skin sélectionné est peut-être cassé : 'idle' est incomplet.","La skin selezionata potrebbe essere danneggiata: 'idle' è incompleto.","Wybrana skórka może być uszkodzona: 'idle' jest niekompletna.","Выбранный скин может быть повреждён: 'idle' не полный.","Обраний скін може бути пошкодженим: 'idle' не повний."
"The selected skin may be broken: 'dragged' is incomplete.","Der ausgewählte Skin ist möglicherweise defekt: 'dragged' ist unvollständig.","The selected skin may be broken: 'dragged' is incomplete.","La piel seleccionada puede estar rota: 'dragged' está incompleto.","Le skin sélectionné est peut-être cassé : 'dragged' est incomplet.","La skin selezionata potrebbe essere danneggiata: 'dragged' è incompleto.","Wybrana skórka może być uszkodzona: 'dragged' jest niekompletna.","Выбранный скин может быть повреждён: 'dragged' не полный.","Обраний скін може бути пошкодженим: 'dragged' не повний."
"The selected skin may be broken: 'walking' is incomplete.","Der ausgewählte Skin ist möglicherweise defekt: 'walking' ist unvollständig.","The selected skin may be broken: 'walking' is incomplete.","La piel seleccionada puede estar rota: 'walking' está incompleto.","Le skin sélectionné est peut-être cassé : 'walking' est incomplet.","La skin selezionata potrebbe essere danneggiata: 'walking' è incompleto.","Wybrana skórka może być uszkodzona: 'walking' jest niekompletna.","Выбранный скин может быть повреждён: 'walking' не полный.","Обраний скін може бути пошкодженим: 'walking' не повний."
"The selected skin may be broken: 'running' is incomplete.","Der ausgewählte Skin ist möglicherweise defekt: 'running' ist unvollständig.","The selected skin may be broken: 'running' is incomplete.","La piel seleccionada puede estar rota: 'running' está incompleto.","Le skin sélectionné est peut-être cassé : 'running' est incomplet.","La skin selezionata potrebbe essere danneggiata: 'running' è incompleto.","Wybrana skórka może być uszkodzona: 'running' jest niekompletna.","Выбранный скин может быть повреждён: 'running' не полный.","Обраний скін може бути пошкодженим: 'running' не повний."
